Feature,Importance,std
family,0.007939393939393887,0.0030387760331446315
food,0.007090909090909045,0.0025251717158787292
death,0.006727272727272684,0.0024272708356970697
Dic,0.00612121212121206,0.002983886939416048
acquire,0.005757575757575704,0.0032354782581913073
home,0.005636363636363595,0.0024059919080338466
negate,0.0054545454545454055,0.0039742051662436445
ipron,0.005393939393939351,0.003321742934798719
netspeak,0.005090909090909048,0.0028062634915855082
shehe,0.004969696969696922,0.0019412869549147794
det,0.004727272727272678,0.0046020716379562695
lack,-0.004121212121212175,0.0022481499383019995
visual,-0.004121212121212175,0.0023284088136119705
socbehav,0.004060606060606009,0.002632006151588902
QMark,0.004060606060606,0.0014671173862921588
WPS,0.003999999999999955,0.003288402416060725
assent,0.003999999999999951,0.0026025346125556213
feeling,-0.003939393939393993,0.002386062992124797
number,-0.003939393939393989,0.002571297386132907
relig,0.0038787878787878327,0.0014264972479927098
reward,0.0038181818181817696,0.0031234178731454902
filler,0.003818181818181765,0.0016103430612832113
curiosity,-0.003757575757575813,0.002714447960795007
Physical,-0.0036969696969697497,0.0025741527977691508
need,-0.003636363636363682,0.002999846950488383
clause_density,0.003636363636363593,0.0053697106505058686
flesch_reading_ease,-0.0035757575757576275,0.0047505255617613165
Emoji,0.0035757575757575212,0.0011240749691510065
self_referential_sent,0.0035151515151514625,0.004126556249830102
emo_pos,-0.0032727272727273203,0.0038967387650129695
you,-0.0032121212121212616,0.0021985887451172414
ethnicity,0.003212121212121164,0.002239965892433483
verb,-0.0030303030303030763,0.002710385427272492
fulfill,0.003030303030302983,0.0022676711434993614
modal_verbs,0.0029696969696969156,0.003249072764528531
fatigue,0.0029090909090908348,0.0011273378931962504
swear,0.002848484848484789,0.0012361259426891592
emo_anx,-0.0026666666666667147,0.0035670155077726444
sexual,0.0026060606060605627,0.00184425746117611
focuspast,0.0026060606060605584,0.0023675181799544917
health,0.0026060606060605584,0.0042320218788111695
substances,0.002606060606060545,0.0015163631519026376
present_indicative_verbs,0.0025454545454544953,0.0032558487317729218
tone_pos,0.0024848484848484453,0.003398265640939689
t_unit_complexity,0.002484848484848423,0.003478386630856178
emo_anger,0.0024242424242423687,0.0018181818181818065
power,0.0023636363636363143,0.003209261162393633
memory,0.0023636363636363143,0.0023503902338988104
comm,-0.0022424242424242944,0.004113182909322959
female,0.0022424242424241834,0.0023906767179776834
Authentic,0.002181818181818138,0.0035099229661988514
male,0.0021212121212120837,0.004220723720358819
socrefs,0.0021212121212120794,0.002571297386132896
emotion,0.0021212121212120794,0.003206971286138891
conflict,0.002121212121212075,0.0022268088570756017
prep,0.0021212121212120707,0.003030303030303025
Culture,0.002121212121212066,0.0017141982574219257
concreteness,0.0020606060606060163,0.0030266644822263635
Drives,-0.0019393939393939964,0.0035214155263839884
work,0.0019393939393938897,0.002367518179954496
politic,0.0018787878787878353,0.0018817181450012058
WC,0.0018787878787878264,0.0026514718611184603
AllPunc,-0.0018181818181818698,0.0034015067152490465
allure,-0.0017575757575758156,0.00414786391085302
polite,-0.0017575757575757978,0.002523716704685704
Apostro,-0.001696969696969748,0.00407279942216035
